Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Fld,Off,Def,WAR,playerid
Mark Kolozsvary,Reds,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.175,0.248,0.268,0.517,0.23,34,0,0,-0.1,0,0,sa3004996
Eduardo Diaz,Diamondbacks,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.221,0.258,0.332,0.59,0.252,51,0,0,-0.1,0,0,sa917182
Christopher Proctor,Tigers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.231,0.275,0.506,0.22,30,0,0,-0.1,0,0,sa3007062
Luis Guzman,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.199,0.247,0.28,0.527,0.23,37,0,0,-0.1,0,0,sa872453
Luke Sherley,Tigers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.247,0.273,0.52,0.228,35,0,0,-0.1,0,0,sa3007320
Carlos Garzon,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.184,0.243,0.258,0.501,0.222,32,0,0,-0.1,0,0,sa595969
Brandon Lopez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.26,0.256,0.515,0.23,37,0,0,-0.1,0,0,sa658974
Robbie Perkins,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.184,0.234,0.274,0.508,0.222,32,0,0,-0.1,0,0,sa739640
Jordan Pearce,Tigers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.193,0.254,0.282,0.535,0.236,40,0,0,-0.1,0,0,sa915690
Logan Moon,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.26,0.309,0.57,0.247,49,0,0,-0.1,0,0,sa829029
Ismael Munguia,Giants,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.227,0.263,0.302,0.565,0.245,51,0,0,-0.1,0,0,sa917132
Chris Hudgins,Royals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.185,0.228,0.281,0.509,0.22,29,0,0,-0.1,0,0,sa829684
Jose Manuel Orozco,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.256,0.321,0.577,0.248,49,0,0,-0.1,0,0,sa505268
Tanner English,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.194,0.255,0.312,0.567,0.246,48,0,0,-0.1,0,0,sa599081
Tanner Dodson,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.203,0.247,0.303,0.55,0.238,46,0,0,-0.1,0,0,sa3007008
JJ Muno,White Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.253,0.295,0.548,0.239,46,0,0,-0.1,0,0,sa3004176
Trayce Thompson,Diamondbacks,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.252,0.354,0.606,0.257,54,0,0,-0.1,0,0,9952
Jose Medina,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204,0.252,0.321,0.574,0.247,48,0,0,-0.1,0,0,sa828205
Manuel Geraldo,Nationals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.255,0.292,0.547,0.237,39,0,0,-0.1,0,0,sa827970
Patrick Biondi,Mets,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.272,0.277,0.548,0.244,51,0,0,-0.1,0,0,sa503056
Mason Martin,Pirates,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.197,0.259,0.355,0.615,0.262,59,0,0,-0.1,0,0,sa3004885
Keinner Pina,Angels,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.234,0.254,0.488,0.214,29,0,0,-0.1,0,0,sa828363
Jose Garcia,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.182,0.239,0.263,0.502,0.221,31,0,0,-0.1,0,0,sa657393
Jax Biggers,Rangers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.264,0.276,0.54,0.238,34,0,0,-0.1,0,0,sa3008251
Jordyn Adams,Angels,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.199,0.253,0.295,0.548,0.239,46,0,0,-0.1,0,0,sa3008032
Omar Meregildo,Nationals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.255,0.31,0.565,0.245,44,0,0,-0.1,0,0,sa872765
Johnny Rizer,Orioles,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.215,0.253,0.317,0.57,0.245,46,0,0,-0.1,0,0,sa1169761
Juan Martinez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.209,0.253,0.297,0.55,0.239,43,0,0,-0.1,0,0,sa502541
Gabriel Noriega,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.209,0.246,0.285,0.531,0.23,37,0,0,-0.1,0,0,sa455932
Robie Rojas,Brewers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.183,0.242,0.273,0.515,0.227,33,0,0,-0.1,0,0,sa3004183
Hector Hernandez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.256,0.277,0.534,0.233,39,0,0,-0.1,0,0,sa509125
Jalen Washington,Padres,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.181,0.235,0.267,0.502,0.221,33,0,0,-0.1,0,0,sa3002884
Yadiel Rivera,Rangers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.266,0.319,0.586,0.252,44,0,0,-0.1,0,0,11863
Oscar Sanay,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.258,0.285,0.542,0.237,42,0,0,-0.1,0,0,sa830476
Keon Barnum,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.203,0.255,0.358,0.613,0.26,57,0,0,-0.1,0,0,sa657864
Max Schuemann,Athletics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.196,0.238,0.263,0.5,0.219,34,0,0,-0.1,0,0,sa3007511
Todd Czinege,Rockies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.219,0.258,0.365,0.623,0.263,44,0,0,-0.1,0,0,sa873611
Shane Billings,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.258,0.316,0.574,0.246,48,0,0,-0.1,0,0,sa918292
Zach Rutherford,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.243,0.252,0.494,0.219,34,0,0,-0.1,0,0,sa915797
Blake Tiberi,Mets,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.196,0.259,0.264,0.522,0.233,44,0,0,-0.1,0,0,sa874235
Kelvin Beltre,Giants,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.254,0.28,0.534,0.235,44,0,0,-0.1,0,0,sa827969
Jerar Encarnacion,Marlins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.208,0.248,0.322,0.57,0.243,50,0,0,-0.1,0,0,sa943817
Hansel Moreno,Mets,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.193,0.238,0.277,0.516,0.225,39,0,0,-0.1,0,0,sa833676
Colby Bortles,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.249,0.287,0.535,0.234,39,0,0,-0.1,0,0,sa874213
Manuel Cruz,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.228,0.28,0.507,0.22,31,0,0,-0.1,0,0,sa870915
Manny Rodriguez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.256,0.297,0.553,0.24,44,0,0,-0.1,0,0,sa509273
Rolando Acosta,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204,0.247,0.287,0.534,0.232,39,0,0,-0.1,0,0,sa291449
David Metzgar,Yankees,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.252,0.279,0.531,0.232,39,0,0,-0.1,0,0,sa3004982
David Hensley,Astros,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.239,0.285,0.524,0.227,39,0,0,-0.1,0,0,sa3006733
Anthony Miller,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.203,0.268,0.336,0.604,0.259,57,0,0,-0.1,0,0,sa875767
Sho Aranami,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.206,0.265,0.303,0.567,0.248,49,0,0,-0.1,0,0,sa3008601
Joseph Pena,Athletics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.195,0.256,0.253,0.508,0.227,39,0,0,-0.1,0,0,sa3007087
Alejandro Salazar,Braves,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.252,0.291,0.543,0.234,38,0,0,-0.1,0,0,sa827937
Joe Hudson,,3,12,11,2,0,0,0,1,1,1,4,0,0,0,0.19,0.256,0.304,0.56,0.244,51,0,0,-0.8,0.2,0,14412
Adan Munoz,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.233,0.287,0.52,0.225,34,0,0,-0.1,0,0,sa201393
Jhonny Santos,Mariners,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.195,0.248,0.292,0.54,0.236,45,0,0,-0.1,0,0,sa828314
Luken Baker,Cardinals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.27,0.328,0.598,0.258,58,0,0,-0.1,0,0,sa3008267
Jeremy Eierman,Athletics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.188,0.227,0.278,0.505,0.219,33,0,0,-0.1,0,0,sa3007005
Tyler Frost,White Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.187,0.242,0.309,0.551,0.238,45,0,0,-0.1,0,0,sa915857
Ricardo Andujar,Orioles,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.203,0.246,0.271,0.517,0.226,34,0,0,-0.1,0,0,sa658092
Ivan Bellazetin,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.247,0.278,0.524,0.229,37,0,0,-0.1,0,0,sa508654
Edgar Robles,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.263,0.299,0.562,0.245,47,0,0,-0.1,0,0,sa3005272
Madison Stokes,Phillies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204,0.244,0.318,0.562,0.241,43,0,0,-0.1,0,0,sa3008076
Yeyson Yrizarri,White Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.233,0.277,0.51,0.221,34,0,0,-0.1,0,0,sa828293
Jack Sundberg,Nationals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.282,0.289,0.571,0.253,49,0,0,-0.1,0,0,sa913277
Brandon Van Horn,Giants,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.196,0.24,0.279,0.519,0.226,38,0,0,-0.1,0,0,sa918436
Welfrin Mateo,Yankees,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.202,0.247,0.284,0.531,0.231,39,0,0,-0.1,0,0,sa827963
Carlos Colmenares,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.202,0.249,0.302,0.551,0.238,43,0,0,-0.1,0,0,sa328821
Eugene Helder,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.249,0.294,0.543,0.236,41,0,0,-0.1,0,0,sa826786
Blake Hunt,Padres,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.187,0.234,0.268,0.502,0.219,32,0,0,-0.1,0,0,sa3004153
Eric Cole,Royals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.26,0.299,0.559,0.244,45,0,0,-0.1,0,0,sa3008268
Tucupita Marcano,Padres,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.214,0.25,0.272,0.521,0.228,38,0,0,-0.1,0,0,sa3002857
Brent Diaz,Brewers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.238,0.274,0.512,0.225,32,0,0,-0.1,0,0,sa3004297
Willie MacIver,Rockies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.255,0.315,0.57,0.245,32,0,0,-0.1,0,0,sa3007828
Bernabe Camargo,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.246,0.272,0.518,0.227,35,0,0,-0.1,0,0,sa3006881
Michael Smith,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.202,0.252,0.287,0.539,0.235,45,0,0,-0.1,0,0,sa3004997
Iker Franco,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.184,0.235,0.275,0.51,0.223,32,0,0,-0.1,0,0,sa203900
Jake Ring,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.194,0.255,0.308,0.563,0.245,47,0,0,-0.1,0,0,sa918728
Trent Gilbert,Athletics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.241,0.278,0.52,0.226,39,0,0,-0.1,0,0,sa599526
Craig Dedelow,White Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.194,0.237,0.32,0.557,0.238,45,0,0,-0.1,0,0,sa918840
Jon Del Campo,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.246,0.307,0.553,0.237,42,0,0,-0.1,0,0,sa328104
Moises Gomez,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.184,0.239,0.309,0.548,0.235,45,0,0,-0.1,0,0,sa875163
Abrahan Gutierrez,Phillies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.238,0.274,0.512,0.224,32,0,0,-0.1,0,0,sa3004263
Austin Shenton,Mariners,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.232,0.292,0.524,0.226,38,0,0,-0.1,0,0,sa3009869
Omar Obregon,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.251,0.267,0.518,0.227,35,0,0,-0.1,0,0,sa657232
Telmito Agustin,Nationals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.219,0.26,0.328,0.588,0.252,49,0,0,-0.1,0,0,sa828321
Correlle Prime,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.212,0.265,0.338,0.603,0.259,56,0,0,-0.1,0,0,sa658187
Richie Fecteau,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.244,0.301,0.545,0.235,41,0,0,-0.1,0,0,sa827319
Julio Pablo Martinez,Rangers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.259,0.329,0.588,0.253,44,0,0,-0.1,0,0,sa3005607
Omar Renteria,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.186,0.239,0.261,0.499,0.22,31,0,0,-0.1,0,0,sa549398
Chandler Taylor,Astros,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.165,0.244,0.297,0.541,0.235,45,0,0,-0.1,0,0,sa3006654
Brock Deatherage,Tigers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.208,0.247,0.318,0.565,0.241,44,0,0,-0.1,0,0,sa3006848
Yancarlo Angulo,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.209,0.262,0.301,0.563,0.246,47,0,0,-0.1,0,0,sa329105
Ty Moore,Pirates,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.212,0.261,0.305,0.566,0.246,49,0,0,-0.1,0,0,sa658629
Dan Rizzie,Mets,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.183,0.234,0.251,0.485,0.214,32,0,0,-0.1,0,0,sa873964
Christian Zazueta,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.215,0.242,0.313,0.555,0.237,41,0,0,-0.1,0,0,sa508617
Lorenzo Cedrola,Reds,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.267,0.317,0.584,0.252,49,0,0,-0.1,0,0,sa872850
Ruben Cardenas,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.244,0.304,0.548,0.235,44,0,0,-0.1,0,0,sa3007505
Matt Winaker,Mets,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.258,0.289,0.547,0.24,49,0,0,-0.1,0,0,sa3004506
Tyreque Reed,Rangers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.215,0.271,0.354,0.624,0.267,54,0,0,-0.1,0,0,sa3004163
Dillon Dobson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.203,0.26,0.343,0.603,0.258,56,0,0,-0.1,0,0,sa875376
Sergio Perez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.218,0.263,0.306,0.569,0.245,47,0,0,-0.1,0,0,sa508059
Alex Destino,White Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.195,0.249,0.301,0.549,0.237,44,0,0,-0.1,0,0,sa3004031
Jesse Berardi,Indians,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.244,0.283,0.527,0.229,33,0,0,-0.1,0,0,sa829838
Ricardo Genoves,Giants,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.184,0.227,0.27,0.497,0.216,32,0,0,-0.1,0,0,sa916844
Wuilmer Becerra,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.214,0.26,0.301,0.56,0.244,46,0,0,-0.1,0,0,sa659205
Nathan Rodriguez,Brewers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.181,0.239,0.271,0.51,0.224,31,0,0,-0.1,0,0,sa829785
Malik Collymore,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.248,0.29,0.537,0.234,40,0,0,-0.1,0,0,sa737908
Torii Hunter Jr.,Angels,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.203,0.26,0.274,0.534,0.236,44,0,0,-0.1,0,0,sa738667
Jay Schuyler,Reds,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.194,0.244,0.271,0.515,0.226,31,0,0,-0.1,0,0,sa3006662
Jonathan Aranda,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.199,0.245,0.269,0.514,0.225,38,0,0,-0.1,0,0,sa919293
Ulrich Bojarski,Tigers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.24,0.326,0.567,0.241,44,0,0,-0.1,0,0,sa3004381
Walter Ibarra,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.251,0.267,0.519,0.227,35,0,0,-0.1,0,0,sa314143
Dalton Guthrie,Phillies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.243,0.293,0.536,0.231,37,0,0,-0.1,0,0,sa829836
Wenceel Perez,Tigers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.203,0.242,0.27,0.512,0.223,32,0,0,-0.1,0,0,sa3003326
Connor Myers,Cubs,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.257,0.316,0.573,0.247,48,0,0,-0.1,0,0,sa918641
Blaine Prescott,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.241,0.3,0.541,0.234,40,0,0,-0.1,0,0,sa829215
Blaze Alexander,Diamondbacks,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.196,0.245,0.283,0.529,0.231,36,0,0,-0.1,0,0,sa3007742
Juan Fernandez,Padres,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.188,0.232,0.266,0.498,0.218,31,0,0,-0.1,0,0,sa917824
Bryan Lavastida,Indians,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.237,0.265,0.502,0.22,27,0,0,-0.1,0,0,sa3006917
James Nelson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204,0.246,0.286,0.532,0.231,42,0,0,-0.1,0,0,sa875753
Brandon Brosher,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.162,0.222,0.277,0.498,0.217,29,0,0,-0.1,0,0,sa738646
Lenyn Sosa,White Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.232,0.272,0.504,0.218,32,0,0,-0.1,0,0,sa3004051
Eduardo Arredondo,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.219,0.264,0.302,0.566,0.246,48,0,0,-0.1,0,0,sa508008
Nick Hutchins,Royals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.226,0.274,0.5,0.216,26,0,0,-0.1,0,0,sa3004395
Matt Vierling,Phillies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.257,0.317,0.574,0.247,48,0,0,-0.1,0,0,sa3006781
Simon Muzziotti,Phillies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.265,0.308,0.573,0.248,48,0,0,-0.1,0,0,sa917376
Cleuluis Rondon,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.246,0.265,0.511,0.225,34,0,0,-0.1,0,0,sa596998
Stuart Levy,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.171,0.233,0.257,0.49,0.217,29,0,0,-0.1,0,0,sa875870
Jose Sermo,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.197,0.245,0.307,0.552,0.237,38,0,0,-0.1,0,0,sa503812
Roberto Alvarez,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.221,0.257,0.478,0.208,26,0,0,-0.1,0,0,sa917107
Oliver Nunez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.242,0.272,0.514,0.225,34,0,0,-0.1,0,0,sa828147
Kyle Nowlin,Athletics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.186,0.249,0.282,0.531,0.233,43,0,0,-0.1,0,0,sa876028
Gilberto Mejia,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.258,0.282,0.54,0.237,42,0,0,-0.1,0,0,sa201453
Francisco Rivera,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.273,0.325,0.598,0.258,55,0,0,-0.1,0,0,sa452248
Anthony Jimenez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.255,0.306,0.561,0.243,45,0,0,-0.1,0,0,sa826672
Jacob Pearson,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.252,0.3,0.552,0.239,43,0,0,-0.1,0,0,sa3004722
Malcom Nunez,Cardinals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.237,0.305,0.541,0.232,41,0,0,-0.1,0,0,sa3008113
Matt McPhearson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.208,0.263,0.288,0.551,0.242,45,0,0,-0.1,0,0,sa737783
Kyri Washington,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.196,0.248,0.32,0.568,0.244,43,0,0,-0.1,0,0,sa857813
Daniel Schneemann,Indians,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.244,0.274,0.518,0.227,31,0,0,-0.1,0,0,sa3006936
Jacob Rhinesmith,Nationals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.218,0.27,0.304,0.574,0.249,47,0,0,-0.1,0,0,sa3006729
Lana Akau,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.182,0.23,0.264,0.494,0.216,28,0,0,-0.1,0,0,sa738553
Nathan Eaton,Royals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.203,0.249,0.282,0.531,0.231,36,0,0,-0.1,0,0,sa3007074
Jeison Guzman,Royals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204,0.239,0.275,0.514,0.223,31,0,0,-0.1,0,0,sa914314
Bubba Hollins,Marlins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.245,0.284,0.529,0.23,41,0,0,-0.1,0,0,sa829697
Christian Williams,Blue Jays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.209,0.256,0.329,0.585,0.251,52,0,0,-0.1,0,0,sa829560
Dylan Tice,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204,0.249,0.284,0.533,0.233,39,0,0,-0.1,0,0,sa876269
Seaver Whalen,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.186,0.232,0.282,0.514,0.223,37,0,0,-0.1,0,0,sa3003939
Carlos Sepulveda,Dodgers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.203,0.26,0.258,0.518,0.23,41,0,0,-0.1,0,0,sa877338
Mark Laird,Phillies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.215,0.265,0.3,0.565,0.246,47,0,0,-0.1,0,0,sa827130
Branden Boggetto,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204,0.249,0.283,0.532,0.232,39,0,0,-0.1,0,0,sa918584
Demi Orimoloye,Blue Jays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.196,0.24,0.312,0.551,0.237,43,0,0,-0.1,0,0,sa875027
Braxton Davidson,Braves,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.175,0.257,0.31,0.566,0.247,47,0,0,-0.1,0,0,sa828679
Matt Reistetter,Nationals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.183,0.241,0.266,0.506,0.223,30,0,0,-0.1,0,0,sa707779
Juan Aparicio,Phillies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.228,0.282,0.51,0.221,30,0,0,-0.1,0,0,sa3002710
Gunnar Troutwine,White Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.167,0.229,0.239,0.468,0.209,25,0,0,-0.1,0,0,sa3006785
Jean Angomas,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.216,0.257,0.3,0.557,0.242,45,0,0,-0.1,0,0,sa737090
Jefrey Ramos,Braves,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.253,0.323,0.576,0.247,47,0,0,-0.1,0,0,sa923039
Taylor Bryant,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.188,0.243,0.265,0.508,0.224,33,0,0,-0.1,0,0,sa3004607
Jordan Diaz,Athletics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.197,0.23,0.29,0.521,0.223,36,0,0,-0.1,0,0,sa3003221
Jean Carrillo,Orioles,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.183,0.235,0.249,0.484,0.214,25,0,0,-0.1,0,0,sa828250
Gift Ngoepe,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.257,0.279,0.536,0.237,42,0,0,-0.1,0,0,10340
Sandro Fabian,Giants,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.248,0.306,0.554,0.239,47,0,0,-0.1,0,0,sa872803
Hayden Senger,Mets,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.228,0.254,0.482,0.212,30,0,0,-0.1,0,0,sa3007009
Cooper Johnson,Tigers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.17,0.225,0.26,0.485,0.213,25,0,0,-0.1,0,0,sa3010584
Luke Morgan,Rockies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.285,0.331,0.615,0.267,47,0,0,-0.1,0,0,sa3006683
Domingo Castro,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.208,0.248,0.276,0.523,0.229,36,0,0,-0.1,0,0,sa185832
Louis Boyd,Mariners,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.234,0.252,0.486,0.214,31,0,0,-0.1,0,0,sa3004038
Ricardo Cubillan,Red Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.195,0.253,0.254,0.508,0.226,31,0,0,-0.1,0,0,sa917089
Yoel Yanqui,Diamondbacks,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.225,0.276,0.328,0.604,0.26,56,0,0,-0.1,0,0,sa3003437
Justin Dean,Braves,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.206,0.266,0.295,0.561,0.246,46,0,0,-0.1,0,0,sa3007070
